CustomerID,Age,Gender,MaritalStatus,Occupation,GeographicLocation,LoginFrequency,ContentType,AvgWatchTime,SubscriptionStartDate,PaymentMethod,PaymentFrequency,LatePaymentCount,ServiceRating,SupportRequests,SupportSatisfaction,SurveyFeedback,Churned
1001,22,Female,Single,Student,TP.HCM,5,Exams,5.7,2023-06-19,Credit Card,Yearly,0,4,3,5,Positive,No
1002,19,Female,Single,Student,TP.HCM,3,Tutorials,9.2,2023-07-01,Bank Transfer,Monthly,1,4,2,5,Positive,No
1003,25,Female,Single,Student,Vũng Tàu,3,Tutorials,7.8,2023-05-06,Bank Transfer,Monthly,3,4,2,4,Positive,No
1004,26,Female,Married,Professional,TP.HCM,3,Webinars,13.0,2022-05-26,PayPal,Monthly,1,1,3,1,Negative,Yes
1005,21,Male,Single,Professional,TP.HCM,2,Tutorials,4.5,2023-02-15,PayPal,Monthly,2,5,1,3,Positive,Yes
1006,27,Male,Married,Professional,TP.HCM,3,Webinars,9.6,2021-10-12,Bank Transfer,Quarterly,1,4,1,4,Positive,No
1007,48,Male,Divorced,Self-Employed,TP.HCM,4,Webinars,11.1,2023-03-07,Bank Transfer,Monthly,1,1,4,1,Negative,Yes
1008,20,Female,Single,Student,Hà Nội,5,Courses,8.0,2023-07-03,Credit Card,Monthly,0,1,4,1,Negative,No
1009,24,Male,Married,Student,TP.HCM,3,Courses,14.5,2022-04-21,Debit Card,Yearly,0,4,0,3,Positive,No
1010,20,Female,Single,Student,Nha Trang,1,Courses,3.3,2022-10-21,PayPal,Quarterly,0,4,1,4,Positive,Yes
1011,25,Female,Divorced,Student,TP.HCM,4,Courses,13.8,2023-04-13,Credit Card,Monthly,1,4,1,5,Positive,No
1012,24,Male,Single,Student,TP.HCM,5,Courses,12.1,2022-04-28,Bank Transfer,Monthly,0,3,0,3,Neutral,No
1013,28,Female,Married,Professional,Hải Phòng,5,Courses,6.8,2023-06-20,Bank Transfer,Monthly,0,4,5,3,Positive,No
1014,33,Female,Married,Professional,Đà Nẵng,2,Tutorials,4.1,2022-02-01,Bank Transfer,Monthly,1,5,1,5,Positive,No
1015,37,Male,Married,Self-Employed,Hà Nội,2,Courses,2.1,2023-08-22,Debit Card,Quarterly,0,4,3,5,Positive,Yes
1016,19,Male,Single,Student,Nha Trang,4,Courses,10.1,2022-09-11,Debit Card,Monthly,0,5,1,3,Positive,No
1017,27,Female,Single,Student,TP.HCM,2,Exams,2.9,2022-09-25,Debit Card,Monthly,0,4,4,2,Neutral,No
1018,21,Male,Single,Student,Hà Nội,7,Courses,23.0,2023-04-05,Debit Card,Monthly,0,5,1,3,Positive,No
1019,29,Male,Married,Professional,Vũng Tàu,1,Webinars,3.2,2022-02-25,PayPal,Monthly,0,3,0,2,Neutral,No
1020,37,Female,Married,Self-Employed,TP.HCM,4,Webinars,12.9,2023-05-18,Bank Transfer,Quarterly,0,4,4,4,Neutral,No
1021,28,Female,Married,Professional,TP.HCM,3,Tutorials,6.1,2022-02-21,Bank Transfer,Quarterly,0,1,2,2,Negative,Yes
1022,58,Female,Married,Professional,Hà Nội,5,Courses,13.1,2022-11-28,Bank Transfer,Monthly,0,4,0,4,Positive,No
1023,22,Female,Divorced,Student,Đà Nẵng,0,Courses,4.4,2022-05-16,PayPal,Monthly,0,5,1,5,Positive,Yes
1024,31,Male,Married,Professional,TP.HCM,4,Courses,13.1,2022-07-24,Bank Transfer,Monthly,2,5,1,5,Positive,No
1025,32,Female,Married,Professional,TP.HCM,3,Courses,5.2,2022-08-21,Bank Transfer,Monthly,1,5,0,3,Positive,Yes
1026,25,Male,Married,Student,Hải Phòng,4,Tutorials,8.3,2023-07-09,Bank Transfer,Quarterly,0,5,3,5,Positive,No
1027,18,Male,Single,Professional,Hà Nội,4,Exams,6.0,2023-09-10,Credit Card,Monthly,0,2,4,1,Negative,No
1028,23,Male,Single,Professional,Hải Phòng,4,Webinars,7.6,2022-11-10,Bank Transfer,Monthly,1,5,0,4,Positive,No
1029,20,Female,Single,Student,TP.HCM,3,Courses,12.7,2023-07-26,Credit Card,Monthly,0,4,1,2,Positive,No
1030,42,Female,Married,Self-Employed,TP.HCM,2,Tutorials,2.2,2022-04-01,Bank Transfer,Yearly,2,5,1,4,Positive,No
1031,19,Female,Single,Professional,TP.HCM,1,Courses,2.3,2023-01-31,Bank Transfer,Monthly,2,5,0,3,Positive,No
1032,42,Female,Married,Self-Employed,Vũng Tàu,2,Courses,2.3,2022-02-01,Cash,Monthly,1,5,2,5,Positive,Yes
1033,26,Female,Married,Professional,Hà Nội,3,Courses,12.2,2021-11-08,Bank Transfer,Monthly,0,5,1,3,Positive,No
1034,25,Male,Married,Student,TP.HCM,4,Exams,13.2,2023-09-09,Bank Transfer,Monthly,0,1,4,1,Negative,Yes
1035,19,Female,Single,Student,Hải Phòng,3,Tutorials,7.9,2023-01-03,PayPal,Quarterly,3,5,1,5,Positive,No
1036,29,Female,Widowed,Professional,Nha Trang,1,Courses,2.6,2022-04-16,PayPal,Monthly,1,1,4,2,Neutral,Yes
1037,22,Male,Single,Student,TP.HCM,2,Courses,2.0,2023-09-08,Credit Card,Monthly,1,1,4,1,Negative,Yes
1038,22,Male,Single,Student,Vũng Tàu,1,Tutorials,3.4,2023-02-22,Credit Card,Yearly,0,4,1,3,Positive,No
1039,33,Female,Married,Professional,TP.HCM,5,Courses,5.6,2023-03-27,Bank Transfer,Monthly,4,5,3,5,Positive,No
1040,23,Male,Single,Student,TP.HCM,1,Tutorials,4.9,2022-11-04,Credit Card,Quarterly,0,3,0,5,Positive,No
1041,20,Female,Single,Student,TP.HCM,3,Exams,12.0,2022-09-17,PayPal,Monthly,2,2,0,2,Neutral,No
1042,26,Female,Married,Student,TP.HCM,5,Courses,8.1,2023-07-07,PayPal,Quarterly,1,5,2,5,Positive,No
1043,30,Male,Single,Professional,TP.HCM,2,Courses,2.6,2021-11-28,Bank Transfer,Quarterly,0,2,3,1,Neutral,No
1044,27,Male,Single,Professional,TP.HCM,4,Webinars,11.2,2023-05-13,Bank Transfer,Quarterly,0,1,5,1,Negative,Yes
1045,23,Male,Single,Student,Nha Trang,0,Courses,3.0,2023-04-24,Bank Transfer,Quarterly,1,4,3,3,Positive,Yes
1046,18,Male,Single,Student,TP.HCM,6,Webinars,24.8,2022-05-22,Debit Card,Monthly,2,1,1,1,Negative,No
1047,20,Male,Single,Student,Hà Nội,4,Tutorials,13.9,2023-03-02,Bank Transfer,Monthly,0,5,3,5,Positive,No
1048,23,Female,Single,Student,Hải Phòng,4,Courses,7.5,2022-03-19,Debit Card,Quarterly,2,4,0,3,Neutral,No
1049,18,Male,Single,Student,Vũng Tàu,5,Courses,11.2,2022-10-06,Bank Transfer,Monthly,3,4,0,4,Positive,No
1050,33,Female,Married,Professional,TP.HCM,2,Tutorials,1.2,2022-04-24,Bank Transfer,Monthly,1,5,0,3,Positive,No
1051,56,Male,Married,Professional,Đà Nẵng,0,Webinars,1.7,2023-06-21,Credit Card,Monthly,2,5,1,2,Positive,Yes
1052,18,Female,Single,Professional,Hà Nội,3,Webinars,9.8,2022-01-08,Bank Transfer,Monthly,0,5,0,5,Positive,No
1053,27,Female,Married,Professional,Hà Nội,4,Tutorials,11.0,2022-12-15,Bank Transfer,Yearly,1,5,2,2,Positive,No
1054,26,Female,Married,Professional,Hà Nội,3,Courses,14.4,2023-09-06,Bank Transfer,Quarterly,2,1,4,1,Neutral,No
1055,28,Female,Married,Self-Employed,TP.HCM,4,Courses,14.1,2022-05-08,Credit Card,Monthly,0,2,1,3,Positive,No
1056,19,Female,Single,Student,TP.HCM,4,Webinars,10.0,2021-09-29,PayPal,Monthly,0,4,1,3,Neutral,No
1057,57,Female,Married,Professional,TP.HCM,2,Courses,1.4,2023-08-08,Debit Card,Monthly,0,5,4,5,Positive,No
1058,45,Female,Married,Self-Employed,Hải Phòng,5,Courses,5.8,2022-05-04,Bank Transfer,Monthly,1,4,1,4,Positive,No
1059,33,Male,Single,Professional,TP.HCM,5,Webinars,11.0,2023-02-13,Bank Transfer,Monthly,0,4,1,4,Positive,No
1060,18,Other,Single,Professional,Hà Nội,1,Tutorials,4.4,2023-09-03,Cash,Quarterly,2,2,3,1,Negative,Yes
1061,25,Female,Married,Student,Hải Phòng,4,Tutorials,6.0,2022-01-02,Credit Card,Monthly,2,5,0,5,Positive,Yes
1062,28,Male,Single,Professional,Đà Nẵng,4,Webinars,8.1,2021-10-17,Bank Transfer,Monthly,2,5,0,5,Positive,No
1063,27,Female,Married,Professional,Đà Nẵng,5,Courses,9.6,2023-01-14,Bank Transfer,Monthly,0,4,1,5,Positive,No
1064,31,Female,Married,Professional,TP.HCM,6,Webinars,18.1,2021-09-20,Bank Transfer,Monthly,3,1,4,1,Negative,No
1065,28,Female,Married,Professional,TP.HCM,2,Tutorials,4.8,2023-05-02,Credit Card,Monthly,1,5,3,5,Positive,Yes
1066,39,Female,Married,Self-Employed,TP.HCM,3,Exams,11.2,2022-12-25,PayPal,Quarterly,0,4,0,4,Positive,No
1067,25,Female,Married,Student,Nha Trang,2,Tutorials,3.3,2023-04-09,Credit Card,Monthly,1,5,3,3,Positive,Yes
1068,25,Female,Single,Student,Đà Nẵng,4,Courses,7.3,2023-07-23,Debit Card,Monthly,0,2,4,4,Neutral,No
1069,30,Male,Divorced,Self-Employed,Hà Nội,4,Webinars,14.5,2023-05-01,Bank Transfer,Monthly,2,5,3,2,Positive,No
1070,26,Female,Single,Professional,Hà Nội,6,Courses,23.4,2022-08-07,PayPal,Monthly,2,1,5,1,Negative,Yes
1071,26,Female,Married,Self-Employed,Nha Trang,4,Exams,6.4,2023-03-22,Bank Transfer,Monthly,1,1,4,1,Negative,Yes
1072,34,Male,Single,Professional,TP.HCM,1,Courses,2.1,2022-05-05,Bank Transfer,Yearly,2,5,1,4,Positive,No
1073,20,Female,Single,Student,TP.HCM,5,Courses,9.8,2022-11-11,Credit Card,Monthly,1,1,1,2,Negative,Yes
1074,27,Female,Married,Professional,Nha Trang,5,Webinars,12.9,2022-08-20,Credit Card,Quarterly,0,5,0,4,Positive,No
1075,35,Female,Single,Self-Employed,Hà Nội,4,Webinars,5.0,2022-11-24,Bank Transfer,Monthly,1,2,5,1,Neutral,No
1076,39,Male,Married,Professional,TP.HCM,5,Webinars,5.5,2021-10-16,Bank Transfer,Monthly,0,5,1,4,Positive,No
1077,50,Female,Divorced,Professional,Cần Thơ,6,Exams,18.2,2023-07-16,Bank Transfer,Monthly,0,4,4,4,Positive,No
1078,22,Female,Single,Self-Employed,TP.HCM,2,Tutorials,1.8,2022-02-28,Bank Transfer,Monthly,0,5,0,4,Positive,No
1079,23,Male,Single,Student,Hà Nội,5,Courses,12.5,2021-12-16,Credit Card,Monthly,0,2,1,4,Positive,Yes
